season,week,old_eliminated,new_eliminated,outcome_changed
1,2,Trista Sutter,Evander Holyfield,True
1,3,Evander Holyfield,Evander Holyfield,False
2,1,Kenny Mayne,Master P,True
2,2,Tatum O'Neal,Master P,True
2,3,Giselle Fernandez,Master P,True
2,4,Master P,Master P,False
2,5,Tia Carrere,Tia Carrere,False
2,6,George Hamilton,George Hamilton,False
3,1,Tucker Carlson,Tucker Carlson,False
3,2,Shanna Moakler,Jerry Springer,True
3,3,Harry Hamlin,Jerry Springer,True
3,4,Vivica A. Fox,Sara Evans,True
3,5,Willa Ford,Sara Evans,True
3,7,Jerry Springer,Jerry Springer,False
4,2,Paulina Porizkova,Clyde Drexler,True
4,3,Shandi Finnessey,Clyde Drexler,True
4,4,Leeza Gibbons,Clyde Drexler,True
4,5,Clyde Drexler,Clyde Drexler,False
4,6,Heather Mills,John Ratzenberger,True
4,7,John Ratzenberger,Billy Ray Cyrus,True
4,8,Billy Ray Cyrus,Billy Ray Cyrus,False
5,1,Josie Maran,Josie Maran,False
5,2,Albert Reed,Wayne Newton,True
5,3,Wayne Newton,Wayne Newton,False
5,4,Floyd Mayweather Jr. ,Mark Cuban,True
5,5,Mark Cuban,Mark Cuban,False
5,6,Sabrina Bryan,Jane Seymour,True
5,7,Jane Seymour,Jane Seymour,False
5,8,Cameron Mathison,Jennie Garth,True
6,2,Monica Seles,Monica Seles,False
6,3,Steve Guttenberg,Marissa Jaret Winokur,True
6,4,Adam Carolla,Adam Carolla,False
6,5,Priscilla Presley,Priscilla Presley,False
6,6,Marlee Matlin,Marlee Matlin,False
6,7,Shannon Elizabeth,Mario,True
6,8,Mario,Marissa Jaret Winokur,True
7,1,Ted McGinley,Jeffrey Ross,True
7,2,Kim Kardashian,Cloris Leachman,True
7,4,Rocco DiSpirito,Rocco DiSpirito,False
7,5,Toni Braxton,Cloris Leachman,True
7,6,Cloris Leachman,Cloris Leachman,False
7,7,Susan Lucci,Cody Linley,True
7,8,Maurice Greene,Cody Linley,True
8,2,Belinda Carlisle,David Alan Grier,True
8,3,Denise Richards,Steve Wozniak,True
8,4,Steve Wozniak,Steve Wozniak,False
8,5,David Alan Grier,Steve-O,True
8,6,Steve-O,Steve-O,False
8,7,Lawrence Taylor,Lawrence Taylor,False
8,8,Chuck Wicks,Chuck Wicks,False
8,9,Lil' Kim,Ty Murray,True
9,1,Ashley Hamiliton,Ashley Hamiliton,False
9,2,Kathy Ireland,Kathy Ireland,False
9,3,Debi Mazar,Michael Irvin,True
9,4,Chuck Liddell,Louie Vito,True
9,5,Natalie Coughlin,Michael Irvin,True
9,6,Melissa Joan Hart,Michael Irvin,True
9,7,Mark Dacascos,Mark Dacascos,False
9,8,Aaron Carter,Aaron Carter,False
10,2,Shannen Doherty,Buzz Aldrin,True
10,3,Buzz Aldrin,Buzz Aldrin,False
10,4,Aiden Turner,Kate Gosselin,True
10,5,Kate Gosselin,Kate Gosselin,False
10,6,Jake Pavelka,Jake Pavelka,False
10,7,Pamela Anderson,Niecy Nash,True
10,8,Niecy Nash,Niecy Nash,False
11,1,David Hasselhoff,David Hasselhoff,False
11,2,Michael Bolton,Michael Bolton,False
11,3,Margaret Cho,Margaret Cho,False
11,4,The Situation,The Situation,False
11,5,Florence Henderson,Florence Henderson,False
11,6,Audrina Patridge,Kurt Warner,True
11,7,Rick Fox,Rick Fox,False
11,8,Kurt Warner,Kurt Warner,False
12,2,Mike Catherwood,Mike Catherwood,False
12,3,Wendy Williams,Wendy Williams,False
12,4,Sugar Ray Leonard,Kendra Wilkinson,True
12,5,Petra Nemcova,Kendra Wilkinson,True
12,6,Chris Jericho,Chris Jericho,False
12,7,Kendra Wilkinson,Romeo,True
12,8,Romeo,Ralph Macchio,True
13,1,Metta World Peace (Ron),Metta World Peace (Ron),False
13,2,Elisabetta Canalis,Chaz Bono,True
13,3,Kristin Cavallari,Chaz Bono,True
13,4,Chynna Phillips,Carson Kressley,True
13,5,Carson Kressley,Carson Kressley,False
13,6,Chaz Bono,Chaz Bono,False
13,7,David Arquette,Nancy Grace,True
13,8,Nancy Grace,Nancy Grace,False
14,2,Martina Navratilova,Martina Navratilova,False
14,3,Jack Wagner,Jack Wagner,False
14,4,Sherri Sheperd,Gladys Knight,True
14,5,Gavin DeGraw,Gavin DeGraw,False
14,6,Gladys Knight,Gladys Knight,False
14,7,Jaleel White,Melissa Gilbert,True
14,8,Roshon Fegan,Melissa Gilbert,True
15,1,Pamela Anderson,Pamela Anderson,False
15,2,Joey Fatone,Bristol Palin,True
15,3,Helio Castroneves,Bristol Palin,True
15,4,Bristol Palin,Kirstie Alley,True
15,6,Sabrina Bryan,Emmitt Smith,True
15,8,Gilles Marini,Kirstie Alley,True
16,3,Wynonna Judd,Wynonna Judd,False
16,4,Lisa Vanderpump,Lisa Vanderpump,False
16,5,D. L. Hughley,D. L. Hughley,False
16,6,Victor Ortiz,Victor Ortiz,False
16,7,Andy Dick,Andy Dick,False
16,8,Sean Lowe,Sean Lowe,False
16,9,Ingo Rademacher,Ingo Rademacher,False
17,2,Keyshawn Johnson,Bill Nye,True
17,3,Bill Nye,Bill Nye,False
17,4,Valerie Harper,Valerie Harper,False
17,5,Christina Milian,Leah Remini,True
17,7,"Nicole ""Snooki"" Polizzi",Bill Engvall,True
17,8,Brant Daugherty,Bill Engvall,True
17,9,Elizabeth Berkley Lauren,Bill Engvall,True
17,10,Leah Remini,Bill Engvall,True
18,2,Sean Avery,Diana Nyad,True
18,5,Cody Simpson,Drew Carey,True
18,6,Drew Carey,Drew Carey,False
18,7,NeNe Leakes,NeNe Leakes,False
18,8,Danica McKellar,James Maslow,True
18,9,Charlie White,James Maslow,True
19,1,Lolo Jones,Betsey Johnson,True
19,2,Tavis Smiley,Michael Waltrip,True
19,3,Randy Couture,Randy Couture,False
19,4,Betsey Johnson,Jonathan Bennett,True
19,6,Jonathan Bennett,Antonio Sabato Jr.,True
19,7,Antonio Sabato Jr.,Michael Waltrip,True
19,8,Michael Waltrip,Michael Waltrip,False
19,9,Lea Thompson,Tommy Chong,True
19,10,Tommy Chong,Tommy Chong,False
20,2,Redfoo,Chris Soules,True
20,3,Charlotte McKinney,Charlotte McKinney,False
20,4,Michael Sam,Chris Soules,True
20,5,Suzanne Somers,Robert Herjavec,True
20,6,Patti LaBelle,Robert Herjavec,True
20,7,Willow Shields,Chris Soules,True
20,8,Robert Herjavec,Robert Herjavec,False
21,2,Victor Espinoza,Chaka Khan,True
21,4,Gary Busey,Gary Busey,False
21,6,Paula Deen,Paula Deen,False
21,7,Hayes Grier,Tamar Braxton,True
21,8,Andy Grammer,Andy Grammer,False
21,9,Alexa PenaVega,Tamar Braxton,True
22,2,Geraldo Rivera,Geraldo Rivera,False
22,3,Mischa Barton,Mischa Barton,False
22,4,Marla Maples,Doug Flutie,True
22,6,Doug Flutie,Doug Flutie,False
22,7,Kim Fields,Jodie Sweetin,True
22,8,Jodie Sweetin,Wanya Morris,True
23,2,Jake T. Austin,Rick Perry,True
23,3,Rick Perry,Rick Perry,False
23,4,Babyface,Babyface,False
23,6,Amber Rose,Amber Rose,False
23,7,Maureen McCormick,Marilu Henner,True
23,8,Ryan Lochte,Marilu Henner,True
23,9,Marilu Henner,Marilu Henner,False
23,10,Terra Jole,Jana Kramer,True
24,2,Chris Kattan,Chris Kattan,False
24,3,Charo,Charo,False
24,4,Mr. T,Mr. T,False
24,5,Erika Jayne,Bonner Bolton,True
24,6,Heather Morris,Nick Viall,True
24,7,Nancy Kerrigan,Bonner Bolton,True
24,8,Bonner Bolton,Bonner Bolton,False
25,2,Barbara Corcoran,Barbara Corcoran,False
25,4,Derek Fisher,Nick Lachey,True
25,5,Sasha Pieterse,Nick Lachey,True
25,6,Nick Lachey,Nick Lachey,False
25,7,Nikki Bella,Nikki Bella,False
25,8,Terrell Owens,Drew Scott,True
25,9,Victoria Arlen,Drew Scott,True
26,1,Jamie Anderson,Kareem Abdul-Jabbar,True
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,False
27,1,Nikki Glaser,Joe Amabile,True
27,2,Danelle Umstead,Joe Amabile,True
27,3,Nancy McKeon,Joe Amabile,True
27,4,Tinashe,Joe Amabile,True
27,6,Mary Lou Retton,John Schneider,True
27,7,John Schneider,Joe Amabile,True
28,2,Mary Wilson,Lamar Odom,True
28,4,Lamar Odom,Lamar Odom,False
28,6,Sailor Brinkley-Cook,Sean Spicer,True
28,7,Karamo Brown,Sean Spicer,True
28,8,Kate Flannery,Sean Spicer,True
28,9,Sean Spicer,Sean Spicer,False
29,2,Charles Oakley,Skai Jackson,True
29,3,Carole Baskin,Carole Baskin,False
29,4,Anne Heche,Jesse Metcalfe,True
29,5,Jesse Metcalfe,Jesse Metcalfe,False
29,6,Veron Davis,Skai Jackson,True
29,7,Monica Aldama,Monica Aldama,False
29,8,Chrishell Stause,Skai Jackson,True
29,9,AJ McLean,AJ McLean,False
30,2,Martin Kove,Martin Kove,False
30,3,Christine Chiu,Brian Austin Green,True
30,4,Brian Austin Green,Brian Austin Green,False
30,5,Melanie C,"Mike ""The Miz"" Mizanin",True
30,6,Kenya Moore,Kenya Moore,False
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",False
30,8,Jimmie Allen,Jimmie Allen,False
31,1,Jason Lewis,Vinny Guadagnino,True
31,2,Teresa Giudice,Cheryl Ladd,True
31,3,Cheryl Ladd,Vinny Guadagnino,True
31,4,Sam Champion,Sam Champion,False
31,5,Joseph Baena,Vinny Guadagnino,True
31,6,Jessie James Decker,Vinny Guadagnino,True
31,7,Jordin Sparks,Vinny Guadagnino,True
31,8,Heidi D'Amelio,Vinny Guadagnino,True
32,1,Matt Walsh,Harry Jowsey,True
32,2,Jamie Lynn Spears,Mauricio Umansky,True
32,3,Tyson Beckford,Tyson Beckford,False
32,4,Adrian Peterson,Barry Williams,True
32,5,Mira Sorvino,Harry Jowsey,True
32,6,Mauricio Umansky,Harry Jowsey,True
32,7,Lele Pons,Harry Jowsey,True
32,8,Barry Williams,Harry Jowsey,True
33,2,Tori Spelling,Eric Roberts,True
33,3,Eric Roberts,Reginald VelJohnson,True
33,4,Brooks Nader,Dwight HowardÂ ,True
33,5,Phaedra Parks,Phaedra Parks,False
33,6,Jenn Tran,Jenn Tran,False
34,2,Corey Feldman,Andy Richter,True
34,3,Lauren Jauregui,Andy Richter,True
34,4,Hilaria Baldwin,Andy Richter,True
34,6,Scott Hoying,Andy Richter,True
34,7,Jen Affleck,Andy Richter,True
34,8,Danielle Fishel,Andy Richter,True
34,9,Andy Richter,Andy Richter,False
